what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1411682710646
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1411682710705
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1411682710715
started,bundle,com.android.ide.eclipse.ndk,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ndk",1411682710779
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1411682710795
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1411682710828
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1411682712856
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411682712906
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1411682719222
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411682719229
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1411682719287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682721750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682737363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682737432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682738282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682739674
opened,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1411682764006
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1411682764032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682764059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411682764066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682765365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682798832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411682798882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682801012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411682927965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411682949079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411682957422
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411682962487
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1411682970610
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1411682970614
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1411682971045
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411682971144
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411682971204
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411682987603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411682997014
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411683001443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411683002115
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411683006416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683013061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683020440
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411683023728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683024378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683029327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411683029369
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1411683041068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411683053735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683071821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411683229555
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411683234591
